Time (Date hh:mm:ss.ms),L-Max dB -A,LEQ dB -A,L-Min dB -A,L-PeakdB -A
2025/03/28 14:22:00,51.923247,40.023247,31.523247,72.523247
2025/03/28 14:23:00,39.923247,33.223247,31.523247,65.523247
2025/03/28 14:24:00,34.923247,32.523247,31.523247,54.123247
2025/03/28 14:25:00,33.223247,31.923247,31.523247,45.923247
2025/03/28 14:26:00,33.723247,31.823247,31.623247,54.023247
2025/03/28 14:27:00,36.623247,32.223247,31.523247,54.623247
2025/03/28 14:28:00,40.923247,33.723247,31.523247,59.923247
2025/03/28 14:29:00,33.923247,31.823247,31.423247,53.123247
2025/03/28 14:30:00,32.423247,31.823247,31.523247,45.523247
2025/03/28 14:31:00,34.323247,31.923247,31.423247,54.123247
2025/03/28 14:32:00,33.423247,31.623247,31.423247,52.623247
2025/03/28 14:33:00,33.323247,32.223247,31.423247,47.823247
2025/03/28 14:34:00,33.923247,32.423247,31.423247,52.923247
2025/03/28 14:35:00,33.723247,33.023247,31.523247,46.523247
2025/03/28 14:36:00,35.123247,33.223247,32.323247,55.323247
2025/03/28 14:37:00,32.623247,32.123247,31.823247,46.423247
2025/03/28 14:38:00,34.223247,32.023247,31.823247,56.023247
2025/03/28 14:39:00,33.823247,32.023247,31.723247,51.723247
2025/03/28 14:40:00,49.423247,41.123247,32.023247,69.623247
2025/03/28 14:41:00,57.123247,50.123247,38.723247,78.123247
2025/03/28 14:42:00,61.723247,50.923247,35.123247,81.923247
2025/03/28 14:43:00,63.423247,50.523247,32.923247,86.823247
2025/03/28 14:44:00,53.323247,38.023247,32.523247,73.923247
2025/03/28 14:45:00,33.523247,32.723247,32.423247,46.823247
2025/03/28 14:46:00,54.223247,41.723247,32.323247,75.623247
2025/03/28 14:47:00,50.823247,40.123247,32.323247,69.523247
2025/03/28 14:48:00,54.623247,44.223247,32.323247,76.623247
2025/03/28 14:49:00,34.623247,32.623247,32.323247,52.523247
2025/03/28 14:50:00,40.623247,37.023247,32.223247,53.323247
2025/03/28 14:51:00,41.623247,40.923247,40.123247,54.423247
2025/03/28 14:52:00,41.823247,41.223247,40.723247,54.923247
2025/03/28 14:53:00,42.123247,41.423247,40.823247,54.423247
2025/03/28 14:54:00,41.323247,40.723247,40.323247,54.823247
2025/03/28 14:55:00,42.023247,41.323247,40.323247,55.723247
2025/03/28 14:56:00,42.323247,41.423247,40.723247,54.823247
2025/03/28 14:57:00,50.823247,42.223247,40.223247,70.223247
2025/03/28 14:58:00,57.823247,44.723247,40.323247,80.223247
2025/03/28 14:59:00,68.923247,54.823247,42.223247,94.923247
2025/03/28 15:00:00,64.223247,50.723247,41.223247,87.123247
2025/03/28 15:01:00,71.323247,66.823247,40.823247,90.023247
2025/03/28 15:02:00,73.723247,70.423247,68.123247,92.023247
2025/03/28 15:03:00,73.523247,69.223247,68.123247,94.023247
2025/03/28 15:04:00,71.023247,69.023247,68.223247,92.623247
2025/03/28 15:05:00,72.823247,69.823247,69.023247,93.123247
2025/03/28 15:06:00,72.023247,70.423247,69.623247,91.523247
2025/03/28 15:07:00,71.223247,70.123247,68.923247,88.523247
2025/03/28 15:08:00,73.823247,70.323247,69.023247,92.423247
2025/03/28 15:09:00,77.623247,70.723247,68.923247,98.223247
2025/03/28 15:10:00,83.923247,72.223247,69.123247,108.023247
2025/03/28 15:11:00,70.323247,67.823247,66.223247,91.523247
2025/03/28 15:12:00,67.323247,65.523247,63.523247,87.923247
2025/03/28 15:13:00,68.123247,66.623247,65.823247,84.623247
2025/03/28 15:14:00,69.123247,66.623247,65.223247,90.323247
2025/03/28 15:15:00,68.223247,65.823247,64.423247,87.323247
2025/03/28 15:16:00,68.023247,65.623247,63.323247,87.323247
2025/03/28 15:17:00,74.823247,65.023247,61.623247,94.123247
2025/03/28 15:18:00,63.823247,56.223247,39.123247,87.423247
2025/03/28 15:19:00,64.223247,56.823247,42.623247,83.123247
2025/03/28 15:20:00,52.523247,49.023247,46.923247,71.923247
2025/03/28 15:21:00,67.423247,54.323247,47.323247,93.123247
2025/03/28 15:22:00,54.623247,48.723247,45.623247,69.823247
2025/03/28 15:23:00,61.823247,53.323247,47.023247,79.223247
2025/03/28 15:24:00,61.523247,55.323247,50.223247,75.923247
2025/03/28 15:25:00,61.423247,58.223247,55.523247,77.423247
2025/03/28 15:26:00,57.123247,54.023247,51.923247,70.223247
2025/03/28 15:27:00,54.023247,48.123247,36.923247,75.723247
2025/03/28 15:28:00,48.723247,42.723247,36.723247,62.923247
2025/03/28 15:29:00,46.623247,39.123247,35.023247,67.223247
2025/03/28 15:30:00,40.123247,37.323247,35.623247,58.423247
2025/03/28 15:31:00,39.923247,37.023247,32.523247,60.223247
2025/03/28 15:32:00,48.023247,38.723247,33.223247,68.023247
2025/03/28 15:33:00,57.123247,43.523247,34.523247,77.223247
2025/03/28 15:34:00,49.123247,42.423247,40.923247,68.423247
2025/03/28 15:35:00,46.223247,41.023247,35.323247,65.823247
2025/03/28 15:36:00,47.023247,40.723247,35.223247,64.723247
2025/03/28 15:37:00,42.023247,39.323247,38.623247,59.423247
2025/03/28 15:38:00,45.623247,40.623247,34.623247,65.623247
2025/03/28 15:39:00,56.823247,46.223247,41.023247,76.523247
2025/03/28 15:40:00,56.723247,45.823247,34.823247,81.023247
2025/03/28 15:41:00,48.823247,41.523247,32.823247,63.723247
2025/03/28 15:42:00,40.423247,35.723247,32.923247,60.423247
2025/03/28 15:43:00,42.323247,39.823247,34.223247,57.623247
2025/03/28 15:44:00,54.423247,44.623247,40.923247,75.123247
2025/03/28 15:45:00,48.823247,44.723247,40.123247,66.323247
2025/03/28 15:46:00,51.223247,43.223247,40.323247,71.223247
2025/03/28 15:47:00,55.423247,44.323247,40.523247,73.623247
2025/03/28 15:48:00,44.823247,43.623247,40.423247,59.323247
2025/03/28 15:49:00,45.323247,43.823247,43.323247,63.623247
2025/03/28 15:50:00,44.223247,42.823247,40.223247,58.123247
2025/03/28 15:51:00,45.923247,43.723247,40.923247,63.823247
2025/03/28 15:52:00,54.123247,45.523247,43.523247,76.523247
2025/03/28 15:53:00,48.923247,44.423247,40.323247,64.723247
2025/03/28 15:54:00,68.223247,55.823247,40.623247,89.923247
2025/03/28 15:55:00,60.623247,48.723247,40.923247,74.723247
2025/03/28 15:56:00,68.023247,55.123247,43.523247,87.523247
2025/03/28 15:57:00,66.523247,54.923247,46.723247,90.623247
2025/03/28 15:58:00,60.523247,52.723247,43.723247,75.423247
2025/03/28 15:59:00,59.723247,49.423247,35.223247,79.023247
2025/03/28 16:00:00,48.723247,42.123247,35.023247,65.323247
2025/03/28 16:01:00,46.923247,42.623247,41.523247,63.423247
2025/03/28 16:02:00,42.923247,42.223247,41.623247,57.623247
2025/03/28 16:03:00,42.923247,40.823247,35.023247,56.923247
2025/03/28 16:04:00,43.123247,42.023247,34.723247,57.823247
2025/03/28 16:05:00,43.323247,42.523247,42.023247,57.523247
2025/03/28 16:06:00,45.623247,42.823247,41.923247,63.223247
2025/03/28 16:07:00,45.223247,41.123247,35.123247,65.623247
2025/03/28 16:08:00,43.223247,42.123247,34.723247,57.923247
2025/03/28 16:09:00,43.323247,42.623247,41.823247,58.023247
2025/03/28 16:10:00,43.923247,42.723247,42.023247,61.723247
2025/03/28 16:11:00,62.023247,51.423247,37.223247,80.823247
2025/03/28 16:12:00,57.323247,44.623247,35.123247,78.523247
2025/03/28 16:13:00,44.223247,42.723247,42.023247,70.123247
2025/03/28 16:14:00,44.223247,42.723247,42.123247,62.123247
2025/03/28 16:15:00,52.823247,43.623247,35.123247,70.623247
2025/03/28 16:16:00,58.723247,47.923247,36.623247,80.223247
2025/03/28 16:17:00,56.223247,45.823247,32.323247,78.823247
2025/03/28 16:18:00,43.423247,35.923247,32.123247,62.723247
2025/03/28 16:19:00,41.223247,33.623247,32.023247,59.823247
2025/03/28 16:20:00,50.723247,39.723247,32.023247,68.823247
2025/03/28 16:21:00,54.123247,41.723247,32.223247,76.323247
2025/03/28 16:22:00,54.023247,44.323247,33.223247,75.723247
2025/03/28 16:23:00,50.723247,38.823247,33.723247,70.323247
